name_norm,trailer_link,video_id,sentiment_scores,favorability,rating,genre,year,votes
transporter 2,https://www.youtube.com/watch?v=_KFOYFBh2QM,_KFOYFBh2QM,"{'positive': 13, 'neutral': 15, 'negative': 4}",0.7647058823529411,R,Action,2005,195000.0
two for the money,https://www.youtube.com/watch?v=vcsdAwqZ-WI,vcsdAwqZ-WI,"{'positive': 32, 'neutral': 55, 'negative': 9}",0.7804878048780488,R,Crime,2005,44000.0
the new world,https://www.youtube.com/watch?v=i2LdlqW26zc,i2LdlqW26zc,"{'positive': 110, 'neutral': 100, 'negative': 40}",0.7333333333333333,PG-13,Biography,2005,84000.0
brick,https://www.youtube.com/watch?v=4Zfw8__A7ps,4Zfw8__A7ps,"{'positive': 129, 'neutral': 69, 'negative': 53}",0.7087912087912088,R,Action,2005,103000.0
wolf creek,https://www.youtube.com/watch?v=8S13W69FQhs,8S13W69FQhs,"{'positive': 98, 'neutral': 82, 'negative': 70}",0.5833333333333334,R,Horror,2005,69000.0
breakfast on pluto,https://www.youtube.com/watch?v=5blVrqSKiRc,5blVrqSKiRc,"{'positive': 69, 'neutral': 96, 'negative': 20}",0.7752808988764045,R,Comedy,2005,21000.0
the exorcism of emily rose,https://www.youtube.com/watch?v=Bi-PLwxwvy8,Bi-PLwxwvy8,"{'positive': 72, 'neutral': 96, 'negative': 82}",0.4675324675324675,PG-13,Drama,2005,122000.0
elektra,https://www.youtube.com/watch?v=XGnADb5e0mc,XGnADb5e0mc,"{'positive': 98, 'neutral': 97, 'negative': 55}",0.6405228758169934,PG-13,Action,2005,89000.0
doom,https://www.youtube.com/watch?v=RO90omga8D4,RO90omga8D4,"{'positive': 96, 'neutral': 96, 'negative': 58}",0.6233766233766234,R,Action,2005,110000.0
the legend of zorro,https://www.youtube.com/watch?v=lawMFyG9Kqg,lawMFyG9Kqg,"{'positive': 2, 'neutral': 5, 'negative': 2}",0.5,PG,Action,2005,95000.0
cheaper by the dozen 2,https://www.youtube.com/watch?v=F79BR4YGBUM,F79BR4YGBUM,"{'positive': 8, 'neutral': 3, 'negative': 5}",0.6153846153846154,PG,Adventure,2005,56000.0
æon flux,https://www.youtube.com/watch?v=HNjyVjoDyQo,HNjyVjoDyQo,"{'positive': 25, 'neutral': 21, 'negative': 14}",0.6410256410256411,PG-13,Action,2005,125000.0
son of the mask,https://www.youtube.com/watch?v=q4HyI0i1mPM,q4HyI0i1mPM,"{'positive': 42, 'neutral': 26, 'negative': 30}",0.5833333333333334,PG,Comedy,2005,53000.0
the producers,https://www.youtube.com/watch?v=u36iNj52rac,u36iNj52rac,"{'positive': 34, 'neutral': 33, 'negative': 14}",0.7083333333333334,PG-13,Comedy,2005,42000.0
the ringer,https://www.youtube.com/watch?v=cx8ZWK0rUWA,cx8ZWK0rUWA,"{'positive': 12, 'neutral': 20, 'negative': 8}",0.6,PG-13,Comedy,2005,36000.0
the cave,https://www.youtube.com/watch?v=QP4DsyaB1eE,QP4DsyaB1eE,"{'positive': 72, 'neutral': 71, 'negative': 34}",0.6792452830188679,PG-13,Action,2005,36000.0
broken flowers,https://www.youtube.com/watch?v=c_TB7MkrGyc,c_TB7MkrGyc,"{'positive': 33, 'neutral': 27, 'negative': 12}",0.7333333333333333,R,Comedy,2005,100000.0
fun with dick and jane,https://www.youtube.com/watch?v=LvOv3veA13Q,LvOv3veA13Q,"{'positive': 82, 'neutral': 77, 'negative': 33}",0.7130434782608696,PG-13,Comedy,2005,139000.0
imagine me you,https://www.youtube.com/watch?v=X-EEMiSmnNw,X-EEMiSmnNw,"{'positive': 81, 'neutral': 45, 'negative': 21}",0.7941176470588235,R,Comedy,2005,31000.0
the family stone,https://www.youtube.com/watch?v=ps8DhuMfScQ,ps8DhuMfScQ,"{'positive': 48, 'neutral': 24, 'negative': 42}",0.5333333333333333,PG-13,Comedy,2005,63000.0
just like heaven,https://www.youtube.com/watch?v=xhlSLVJfYOE,xhlSLVJfYOE,"{'positive': 42, 'neutral': 36, 'negative': 11}",0.7924528301886793,PG-13,Comedy,2005,101000.0
capote,https://www.youtube.com/watch?v=1LO2nv4aEpw,1LO2nv4aEpw,"{'positive': 21, 'neutral': 20, 'negative': 7}",0.75,R,Biography,2005,128000.0
the skeleton key,https://www.youtube.com/watch?v=4RlCq1Ash-4,4RlCq1Ash-4,"{'positive': 57, 'neutral': 26, 'negative': 28}",0.6705882352941176,PG-13,Drama,2005,108000.0
the squid and the whale,https://www.youtube.com/watch?v=R1alHcMtnr0,R1alHcMtnr0,"{'positive': 13, 'neutral': 16, 'negative': 4}",0.7647058823529411,R,Comedy,2005,80000.0
land of the dead,https://www.youtube.com/watch?v=4Wfj5Jc10ZI,4Wfj5Jc10ZI,"{'positive': 2, 'neutral': 1, 'negative': 0}",1.0,R,Horror,2005,93000.0
man of the house,https://www.youtube.com/watch?v=a39EYIVPAhE,a39EYIVPAhE,"{'positive': 26, 'neutral': 22, 'negative': 1}",0.9629629629629628,PG,Comedy,1995,8900.0
elizabethtown,https://www.youtube.com/watch?v=tBTksmUvFHw,tBTksmUvFHw,"{'positive': 80, 'neutral': 59, 'negative': 17}",0.8247422680412371,PG-13,Comedy,2005,68000.0
chicken little,https://www.youtube.com/watch?v=VUBFCaWiQ28,VUBFCaWiQ28,"{'positive': 72, 'neutral': 143, 'negative': 34}",0.6792452830188679,G,Animation,2005,88000.0
monsterinlaw,https://www.youtube.com/watch?v=njLr1z66EfA,njLr1z66EfA,"{'positive': 115, 'neutral': 89, 'negative': 44}",0.7232704402515723,PG-13,Comedy,2005,58000.0
domino,https://www.youtube.com/watch?v=6Of0gxSz8Vk,6Of0gxSz8Vk,"{'positive': 105, 'neutral': 92, 'negative': 53}",0.6645569620253164,R,Action,2005,65000.0
the ring two,https://www.youtube.com/watch?v=j7bPtOf6-mY,j7bPtOf6-mY,"{'positive': 23, 'neutral': 37, 'negative': 18}",0.5609756097560976,PG-13,Horror,2005,93000.0
harsh times,https://www.youtube.com/watch?v=L6SnhaaRdVA,L6SnhaaRdVA,"{'positive': 5, 'neutral': 2, 'negative': 1}",0.8333333333333334,R,Action,2005,64000.0
herbie fully loaded,https://www.youtube.com/watch?v=zD9De1OkJ4o,zD9De1OkJ4o,"{'positive': 30, 'neutral': 27, 'negative': 8}",0.7894736842105263,G,Adventure,2005,46000.0
cursed,https://www.youtube.com/watch?v=xLTdy6PfotA,xLTdy6PfotA,"{'positive': 54, 'neutral': 167, 'negative': 29}",0.6506024096385542,PG-13,Comedy,2005,31000.0
xxx state of the union,https://www.youtube.com/watch?v=78GqdG56y2w,78GqdG56y2w,"{'positive': 55, 'neutral': 54, 'negative': 20}",0.7333333333333333,PG-13,Action,2005,68000.0
derailed,https://www.youtube.com/watch?v=84mGKTTv5Gc,84mGKTTv5Gc,"{'positive': 109, 'neutral': 51, 'negative': 26}",0.8074074074074075,R,Crime,2005,72000.0
romance cigarettes,https://www.youtube.com/watch?v=CDSQPpAAdz0,CDSQPpAAdz0,"{'positive': 7, 'neutral': 5, 'negative': 3}",0.7,R,Comedy,2005,12000.0
unleashed,https://www.youtube.com/watch?v=9UKilYzrQH4,9UKilYzrQH4,"{'positive': 78, 'neutral': 69, 'negative': 21}",0.7878787878787878,R,Action,2005,100000.0
hustle flow,https://www.youtube.com/watch?v=YSG8rERJA88,YSG8rERJA88,"{'positive': 13, 'neutral': 32, 'negative': 4}",0.7647058823529411,R,Crime,2005,39000.0
the fog,https://www.youtube.com/watch?v=ovNTb39_viI,ovNTb39_viI,"{'positive': 82, 'neutral': 50, 'negative': 51}",0.6165413533834586,R,Horror,1980,66000.0
must love dogs,https://www.youtube.com/watch?v=6Yzk_TTBcmw,6Yzk_TTBcmw,"{'positive': 0, 'neutral': 2, 'negative': 0}",0.0,PG-13,Comedy,2005,31000.0
the ballad of jack and rose,https://www.youtube.com/watch?v=J4NhD8BFaPg,J4NhD8BFaPg,"{'positive': 41, 'neutral': 31, 'negative': 23}",0.640625,R,Drama,2005,11000.0
the great raid,https://www.youtube.com/watch?v=N51IAYnlNK0,N51IAYnlNK0,"{'positive': 67, 'neutral': 48, 'negative': 35}",0.6568627450980392,R,Action,2005,21000.0
venom,https://www.youtube.com/watch?v=u9Mv98Gr5pY,u9Mv98Gr5pY,"{'positive': 102, 'neutral': 103, 'negative': 45}",0.6938775510204082,R,Horror,1981,2600.0
roll bounce,https://www.youtube.com/watch?v=RNS7YVeKm6g,RNS7YVeKm6g,"{'positive': 4, 'neutral': 6, 'negative': 0}",1.0,PG-13,Comedy,2005,6800.0
alone in the dark,https://www.youtube.com/watch?v=ddsa1IB9MH4,ddsa1IB9MH4,"{'positive': 101, 'neutral': 82, 'negative': 67}",0.6011904761904762,R,Action,2005,42000.0
an american haunting,https://www.youtube.com/watch?v=ehMuG2ZF5k8,ehMuG2ZF5k8,"{'positive': 8, 'neutral': 3, 'negative': 7}",0.5333333333333333,PG-13,Drama,2005,25000.0
supercross,https://www.youtube.com/watch?v=7z3Tjz6Hopc,7z3Tjz6Hopc,"{'positive': 13, 'neutral': 7, 'negative': 4}",0.7647058823529411,PG-13,Action,2005,4400.0
oliver twist,https://www.youtube.com/watch?v=hUFblil8o2k,hUFblil8o2k,"{'positive': 44, 'neutral': 45, 'negative': 25}",0.6376811594202898,PG-13,Crime,2005,32000.0
white noise,https://www.youtube.com/watch?v=SgwKZAMx_gM,SgwKZAMx_gM,"{'positive': 74, 'neutral': 96, 'negative': 80}",0.4805194805194805,PG-13,Drama,2005,48000.0
are we there yet,https://www.youtube.com/watch?v=lfs5-YMR8Q8,lfs5-YMR8Q8,"{'positive': 76, 'neutral': 140, 'negative': 34}",0.6909090909090909,PG,Adventure,2005,30000.0
the protector,https://www.youtube.com/watch?v=80dqOwAOhbo,80dqOwAOhbo,"{'positive': 90, 'neutral': 90, 'negative': 70}",0.5625,R,Action,1985,4200.0
proof,https://www.youtube.com/watch?v=FIbfRLQxx9g,FIbfRLQxx9g,"{'positive': 54, 'neutral': 92, 'negative': 81}",0.4,R,Drama,1991,6300.0
last days,https://www.youtube.com/watch?v=HFWnZW3esb8,HFWnZW3esb8,"{'positive': 97, 'neutral': 74, 'negative': 79}",0.5511363636363636,R,Drama,2005,22000.0
racing stripes,https://www.youtube.com/watch?v=PL64Q_JM5qw,PL64Q_JM5qw,"{'positive': 13, 'neutral': 15, 'negative': 7}",0.65,PG,Adventure,2005,16000.0
a sound of thunder,https://www.youtube.com/watch?v=yTmKsKhMcIg,yTmKsKhMcIg,"{'positive': 85, 'neutral': 54, 'negative': 71}",0.5448717948717948,PG-13,Action,2005,19000.0
keeping mum,https://www.youtube.com/watch?v=GgVr85OeoZo,GgVr85OeoZo,"{'positive': 20, 'neutral': 15, 'negative': 7}",0.7407407407407407,R,Comedy,2005,34000.0
an unfinished life,https://www.youtube.com/watch?v=A1NLVAWMEo8,A1NLVAWMEo8,"{'positive': 34, 'neutral': 19, 'negative': 7}",0.8292682926829268,PG-13,Drama,2005,29000.0
boogeyman,https://www.youtube.com/watch?v=cFqCmIU0-_M,cFqCmIU0-_M,"{'positive': 79, 'neutral': 75, 'negative': 96}",0.4514285714285714,PG-13,Drama,2005,30000.0
fierce people,https://www.youtube.com/watch?v=CuUFkNVmE_Y,CuUFkNVmE_Y,"{'positive': 64, 'neutral': 36, 'negative': 12}",0.8421052631578947,R,Drama,2005,6600.0
me and you and everyone we know,https://www.youtube.com/watch?v=t87QILBZd_I,t87QILBZd_I,"{'positive': 24, 'neutral': 26, 'negative': 4}",0.8571428571428571,R,Comedy,2005,36000.0
transamerica,https://www.youtube.com/watch?v=O9jz3uz8cqc,O9jz3uz8cqc,"{'positive': 19, 'neutral': 19, 'negative': 3}",0.8636363636363636,R,Adventure,2005,41000.0
the lost city,https://www.youtube.com/watch?v=nfKO9rYDmE8,nfKO9rYDmE8,"{'positive': 116, 'neutral': 72, 'negative': 62}",0.651685393258427,R,Drama,2005,9300.0
beauty shop,https://www.youtube.com/watch?v=twy94Qb5EIs,twy94Qb5EIs,"{'positive': 14, 'neutral': 17, 'negative': 3}",0.8235294117647058,PG-13,Comedy,2005,17000.0
the upside of anger,https://www.youtube.com/watch?v=2ZPPZv0q02s,2ZPPZv0q02s,"{'positive': 21, 'neutral': 8, 'negative': 8}",0.7241379310344828,R,Comedy,2005,21000.0
the chumscrubber,https://www.youtube.com/watch?v=kJ8u9Q81mNo,kJ8u9Q81mNo,"{'positive': 43, 'neutral': 13, 'negative': 18}",0.7049180327868853,R,Comedy,2005,18000.0
the man,https://www.youtube.com/watch?v=uKryYt2bWlk,uKryYt2bWlk,"{'positive': 37, 'neutral': 21, 'negative': 13}",0.74,PG-13,Action,2005,25000.0
prime,https://www.youtube.com/watch?v=Y0ZsLudtfjI,Y0ZsLudtfjI,"{'positive': 99, 'neutral': 102, 'negative': 49}",0.668918918918919,PG-13,Comedy,2005,40000.0
manderlay,https://www.youtube.com/watch?v=vFk2Vy1bWHQ,vFk2Vy1bWHQ,"{'positive': 19, 'neutral': 27, 'negative': 17}",0.5277777777777778,Not Rated,Drama,2005,23000.0
junebug,https://www.youtube.com/watch?v=mUj7k7Ypb60,mUj7k7Ypb60,"{'positive': 8, 'neutral': 5, 'negative': 4}",0.6666666666666666,R,Comedy,2005,22000.0
dominion,https://www.youtube.com/watch?v=LpDJlEQsDoA,LpDJlEQsDoA,"{'positive': 71, 'neutral': 91, 'negative': 88}",0.4465408805031446,R,Drama,2005,11000.0
battle in heaven,https://www.youtube.com/watch?v=yHy1r27c09U,yHy1r27c09U,"{'positive': 3, 'neutral': 3, 'negative': 5}",0.375,Unrated,Crime,2005,6100.0
dreamer,https://www.youtube.com/watch?v=ip1M_fjL2Bo,ip1M_fjL2Bo,"{'positive': 6, 'neutral': 5, 'negative': 0}",1.0,PG,Drama,2005,12000.0
black,https://www.youtube.com/watch?v=aH1FOkJys3Y,aH1FOkJys3Y,"{'positive': 12, 'neutral': 31, 'negative': 4}",0.75,Not Rated,Drama,2005,34000.0
factotum,https://www.youtube.com/watch?v=yOcMSq9msSc,yOcMSq9msSc,"{'positive': 42, 'neutral': 19, 'negative': 13}",0.7636363636363637,R,Comedy,2005,14000.0
beowulf grendel,https://www.youtube.com/watch?v=TGlSAtb-SDw,TGlSAtb-SDw,"{'positive': 114, 'neutral': 60, 'negative': 76}",0.6,R,Action,2005,18000.0
joyeux noel,https://www.youtube.com/watch?v=KRrr-CDXijs,KRrr-CDXijs,"{'positive': 93, 'neutral': 61, 'negative': 77}",0.5470588235294118,PG-13,Drama,2005,28000.0
dirty love,https://www.youtube.com/watch?v=e0-DoQE15mQ,e0-DoQE15mQ,"{'positive': 12, 'neutral': 5, 'negative': 3}",0.8,R,Comedy,2005,6800.0
everything is illuminated,https://www.youtube.com/watch?v=l-hCtlNM32M,l-hCtlNM32M,"{'positive': 74, 'neutral': 69, 'negative': 28}",0.7254901960784313,PG-13,Comedy,2005,57000.0
thumbsucker,https://www.youtube.com/watch?v=z_2I2D35w7k,z_2I2D35w7k,"{'positive': 10, 'neutral': 7, 'negative': 0}",1.0,R,Comedy,2005,21000.0
rebound,https://www.youtube.com/watch?v=Pyt0G71LPnA,Pyt0G71LPnA,"{'positive': 1, 'neutral': 6, 'negative': 1}",0.5,PG,Comedy,2005,13000.0
the departed,https://www.youtube.com/watch?v=iojhqm0JTW4,iojhqm0JTW4,"{'positive': 121, 'neutral': 93, 'negative': 37}",0.7658227848101266,R,Crime,2006,1200000.0
the fast and the furious tokyo drift,https://www.youtube.com/watch?v=p8HQ2JLlc4E,p8HQ2JLlc4E,"{'positive': 98, 'neutral': 89, 'negative': 63}",0.6086956521739131,PG-13,Action,2006,252000.0
talladega nights the ballad of ricky bobby,https://www.youtube.com/watch?v=YfGRg0FLxtE,YfGRg0FLxtE,"{'positive': 32, 'neutral': 37, 'negative': 12}",0.7272727272727273,PG-13,Comedy,2006,172000.0
